"Server IP","Server Group","Server Group Mode","Hostname"
"200.152.33.22","02 - Servicos Corporativos e Autenticacao","Active","pssomteapr01.dataprev.gov.br"
"200.152.32.37","03-MEU-INSS-SG","Active","tarefas.inss.gov.br"
"200.152.32.99","03-MEU-INSS-SG","Active","www11.dataprev.gov.br"
"200.152.33.10","03-MEU-INSS-SG","Active","meu.inss.gov.br"
"200.152.35.195","03-MEU-INSS-SG","Active","vip-agendamentoapr01.inss.gov.br"
"200.152.35.196","03-MEU-INSS-SG","Active","pservicoexternoapr01.dataprev.gov.br"
"200.152.35.199","03-MEU-INSS-SG","Active","vip-pmeuinssprxr.inss.gov.br"
"200.152.35.200","03-MEU-INSS-SG","Active","vip-psat.inss.gov.br"
"200.152.35.44","04 - INSS - PMF - MOBDIGITAL","Active","vip-auxilioemergencial.dataprev.gov.br"
"200.152.35.207","04 - INSS - PMF - MOBDIGITAL","Active","vip-ppmf.inss.gov.br"
"200.152.35.209","04 - INSS - PMF - MOBDIGITAL","Active","mobdigital.inss.gov.br"
"200.152.35.214","04 - INSS - PMF - MOBDIGITAL","Active","vip-ppmfapr03.dataprev.gov.br"
"200.152.32.30","05 - WWW5 - WWW12","Active","consultacadastral.inss.gov.br"
"200.152.32.120","05 - WWW5 - WWW12","Active","www5.dataprev.gov.br"
"200.152.32.144","06 - WWW2 - WWW9","Active","www2.dataprev.gov.br"
"200.152.32.195","06 - WWW2 - WWW9","Active","www9.dataprev.gov.br"
"200.152.32.22","07 - CNISNET","Active","pcnisweb01.dataprev.gov.br"
"200.152.35.193","07 - CNISNET","Active","pcnisappweb01.inss.gov.br"
"200.152.32.18","08 - WWW8 - ESOCIAL - ERECURSOS","Active","pesocialweb01.dataprev.gov.br"
"200.152.32.112","08 - WWW8 - ESOCIAL - ERECURSOS","Active","b2b.dataprev.gov.br"
"200.152.32.114","08 - WWW8 - ESOCIAL - ERECURSOS","Active","www8.dataprev.gov.br"
"200.152.32.190","09 - COMPREV-SG","Active","www6.dataprev.gov.br"
"200.152.33.41","09 - COMPREV-SG","Active","vip-pcomprevohs.inss.gov.br"
"200.152.33.42","09 - COMPREV-SG","Active","vip-pcomprevapacheinter.inss.gov.br"
"200.152.35.46","11 - Auxilio Emergencial","Active","vip-auxilio-emergencial-gerencia.dataprev.gov.br"
"200.152.32.13","12 - ESISREC - SISGEPEP - SISPAGBEN - EXTRATOIR","Active","extratoir-weblog-prod.inss.gov.br"
"200.152.32.33","12 - ESISREC - SISGEPEP - SISPAGBEN - EXTRATOIR","Active","psispagbenapr.dataprev.gov.br"
"200.152.32.117","12 - ESISREC - SISGEPEP - SISPAGBEN - EXTRATOIR","Active","vip-sisgpep-prod.inss.gov.br"
"200.152.35.194","12 - ESISREC - SISGEPEP - SISPAGBEN - EXTRATOIR","Active","vip-psisrec.inss.gov.br"
"200.152.32.169","13-SABI-PRISMA-TELETRABALHO","Active","www99.dataprev.gov.br"
"200.152.32.175","13-SABI-PRISMA-TELETRABALHO","Active","200.152.32.175"
"200.152.32.184","13-SABI-PRISMA-TELETRABALHO","Active","200.152.32.184"
"200.152.35.203","13-SABI-PRISMA-TELETRABALHO","Active","vip-pcniswebapr02.inss.gov.br"
"200.152.32.45","14 - EDOC - DADOS ABERTOS - EAD","Active","vip-pedocapr01.dataprev.gov.br"
"200.152.32.122","14 - EDOC - DADOS ABERTOS - EAD","Active","dadosabertos.dataprev.gov.br"
"200.152.32.149","14 - EDOC - DADOS ABERTOS - EAD","Active","edoc.inss.gov.br"
"200.152.33.29","14 - EDOC - DADOS ABERTOS - EAD","Active","200.152.33.29"
"200.152.35.35","14 - EDOC - DADOS ABERTOS - EAD","Active","edoc-mobile.dataprev.gov.br"
"200.152.35.38","14 - EDOC - DADOS ABERTOS - EAD","Active","vip-pmoodle.dataprev.gov.br"
"200.152.35.198","14 - EDOC - DADOS ABERTOS - EAD","Active","edoc4.inss.gov.br"
"200.152.32.24","16-OUTROS-SG","Active","www-ohsrevartrecben.dataprev.gov.br"
"200.152.32.47","16-OUTROS-SG","Active","vip-pcoaf.dataprev.gov.br"
"200.152.33.34","16-OUTROS-SG","Active","gru.inss.gov.br"
"200.152.33.38","16-OUTROS-SG","Active","rppss.cnis.gov.br"
"200.152.32.46","17-AUTENTICACAO-SIAC-SG","Active","vip-psiacwebapr01.dataprev.gov.br"
"200.152.32.48","17-AUTENTICACAO-SIAC-SG","Active","vip-psiacproxyrev.dataprev.gov.br"
"200.152.32.80","18 - GWAPI ","Active","homol-store.dataprev.gov.br"
"200.152.35.33","18 - GWAPI ","Active","store.dataprev.gov.br"
"200.152.35.34","18 - GWAPI ","Active","vip-central135prx.dataprev.gov.br"
"200.152.33.12","19 - Servicos Economia","Active","vip-psicapweb.dataprev.gov.br"
"200.152.33.16","21 - Servicos MTE","Active","sinpat.dataprev.gov.br"
"200.152.35.64","21 - Servicos MTE","Active","200.152.35.64"
"200.152.35.65","21 - Servicos MTE","Active","200.152.35.65"
"200.152.35.66","21 - Servicos MTE","Active","pportalmaisemprego.dataprev.gov.br"
"200.152.35.68","21 - Servicos MTE","Active","vip-psineaberto.dataprev.gov.br"
"200.152.35.70","21 - Servicos MTE","Active","mte-auto-atendimento.dataprev.gov.br"
"200.152.35.71","21 - Servicos MTE","Active","mte-posto-atendimento.dataprev.gov.br"
