C:\Users\Note\Documents\Log\localhost_access_log.2016-07-01.txt--------------------------
/dashboard-mps/painel-estatistico/deficitAtuarialPorAno  ,  LongSummaryStatistics{count=19, sum=2140, min=78, average=112,631579, max=328}
/dashboard-mps/programacao/nomeEntes  ,  LongSummaryStatistics{count=5, sum=563, min=93, average=112,600000, max=156}
/dashboard-mps/auditoriaIndireta/lista  ,  LongSummaryStatistics{count=2, sum=221, min=31, average=110,500000, max=190}
/dashboard-mps/auditoria/tsd  ,  LongSummaryStatistics{count=5, sum=524, min=95, average=104,800000, max=111}
/dashboard-mps/auditoria/nomeEntes  ,  LongSummaryStatistics{count=264, sum=27478, min=77, average=104,083333, max=314}
/dashboard-mps/programacao/agendar  ,  LongSummaryStatistics{count=11, sum=1113, min=80, average=101,181818, max=112}
/dashboard-mps/programacao/filtrar  ,  LongSummaryStatistics{count=14, sum=1353, min=80, average=96,642857, max=127}
/dashboard-mps/documento/downloadFile/22841/Of%C3%ADcio%20N%C2%B0940_2016_CGNAL_DRPSP_SPPS_MF.doc  ,  LongSummaryStatistics{count=1, sum=95, min=95, average=95,000000, max=95}
/dashboard-mps/painel-estatistico/  ,  LongSummaryStatistics{count=6, sum=566, min=16, average=94,333333, max=423}
/dashboard-mps/login  ,  LongSummaryStatistics{count=267, sum=24101, min=0, average=90,265918, max=252}
/dashboard-mps/regra/editar  ,  LongSummaryStatistics{count=9, sum=735, min=33, average=81,666667, max=267}
/dashboard-mps/documento/downloadFile/23008/Of%C3%ADcio%20N%C2%B0986_2016_CGACI_DRPSP_SPPS_MF.pdf  ,  LongSummaryStatistics{count=1, sum=80, min=80, average=80,000000, max=80}
/dashboard-mps/documento/downloadFile/23009/Termo%20de%20Solicita%C3%A7%C3%A3o%20de%20Documentos%20N%C2%B0064_2016_CGACI_DRPSP_SPPS_MF.pdf  ,  LongSummaryStatistics{count=1, sum=80, min=80, average=80,000000, max=80}
/dashboard-mps/painel-estatistico/classificacaoCRP  ,  LongSummaryStatistics{count=19, sum=1481, min=62, average=77,947368, max=110}
/dashboard-mps/usuario/editar  ,  LongSummaryStatistics{count=8, sum=591, min=33, average=73,875000, max=125}
